instruction,input,output
Who or what is Pecatonica?,,"( 112179) RON MILLER (V.O.) So, like the government in Washington, the people in Pecatonica are grappling for solutions."
What is the main point about RON?,,"( 112179) RON MILLER (V.O.) So, like the government in Washington, the people in Pecatonica are grappling for solutions."
Who or what is JACK?,,"JACK STROUP, Vietnam vet, red beard, a cap with the Kenworth trucks logo, a denim jacket."
Who or what is Vietnam?,,"JACK STROUP, Vietnam vet, red beard, a cap with the Kenworth trucks logo, a denim jacket."
Who or what is Kenworth?,,"JACK STROUP, Vietnam vet, red beard, a cap with the Kenworth trucks logo, a denim jacket."
What is the main point about JACK?,,"JACK STROUP, Vietnam vet, red beard, a cap with the Kenworth trucks logo, a denim jacket."
Who or what is STROUP?,,"STROUP (V.O.) Even in our little community here, people are drawn up, they're tense."
What is the main point about STROUP?,,"STROUP (V.O.) Even in our little community here, people are drawn up, they're tense."
What is the main point about ARGO?,,73 OMITTED 73 ARGO - Final 26.
Who or what is INT?,,74 INT.
What is the main point about INT?,,74 INT.
Who or what is CARPET FACTORY - DAY 74?,,CARPET FACTORY - DAY 74 ANGLE - A SMALL HAND pieces shreds together to form the words: U.S. DEPARTMENT OF STATE -- TEHRAN --
Who or what is U.S.?,,CARPET FACTORY - DAY 74 ANGLE - A SMALL HAND pieces shreds together to form the words: U.S. DEPARTMENT OF STATE -- TEHRAN -- CLASSIFIED.
What is the main point about FACTORY?,,CARPET FACTORY - DAY 74 ANGLE - A SMALL HAND pieces shreds together to form the words: U.S. DEPARTMENT OF STATE -- TEHRAN -- CLASSIFIED.
Who or what is EMBASSY?,,He is working on reassembling the seized EMBASSY PAPERS -- a giant pile of shredded documents -- with the skill of a blindfolded child Mozart at the
Who or what is Mozart?,,seized EMBASSY PAPERS -- a giant pile of shredded documents -- with the skill of a blindfolded child Mozart at the harpsichord.
What is the main point about EMBASSY?,,He is working on reassembling the seized EMBASSY PAPERS -- a giant pile of shredded documents -- with the skill of a blindfolded child Mozart at the harpsichord.
Who or what is FACE?,,We see the unmistakable image of a FACE being formed from the shredded material.
What is the main point about image?,,We see the unmistakable image of a FACE being formed from the shredded material.
Who or what is Mike Wallace?,,75 ANGLE - CLOSEUP OF AYATOLLAH KHOMEINI 75 (Footage from a Mike Wallace interview.
What is the main point about ANGLE?,,75 ANGLE - CLOSEUP OF AYATOLLAH KHOMEINI 75 (Footage from a Mike Wallace interview.
When did the events related to 60 Minutes 111879 occur?,,60 Minutes 111879.) KHOMEINI (V.O.) (FARSI) Our young people have taken over this nest of corruption.
Who or what is KHOMEINI?,,60 Minutes 111879.) KHOMEINI (V.O.) (FARSI) Our young people have taken over this nest of corruption.
Who or what is V.O.?,,60 Minutes 111879.) KHOMEINI (V.O.) (FARSI) Our young people have taken over this nest of corruption.
What is the main point about Minutes?,,60 Minutes 111879.) KHOMEINI (V.O.) (FARSI) Our young people have taken over this nest of corruption.
Who or what is America?,,America can't do a damn thing about it -- 76 OMITTED 76 77 ARCHIVE FOOTAGE 77 Rage at an anti-Iran protest in
When did the events related to 76 77 occur?,,America can't do a damn thing about it -- 76 OMITTED 76 77 ARCHIVE FOOTAGE 77 Rage at an anti-Iran protest in front of the White House.
Who or what is anti-Iran?,,America can't do a damn thing about it -- 76 OMITTED 76 77 ARCHIVE FOOTAGE 77 Rage at an anti-Iran protest in front of the White House.
Who or what is the White House?,,damn thing about it -- 76 OMITTED 76 77 ARCHIVE FOOTAGE 77 Rage at an anti-Iran protest in front of the White House.
What is the main point about America?,,America can't do a damn thing about it -- 76 OMITTED 76 77 ARCHIVE FOOTAGE 77 Rage at an anti-Iran protest in front of the White House.
What is the main point about Signs?,,Signs: DEPORT ALL IRANIANSCAMEL JOCKEYS GO HOME.
What is the main point about IRANIAN?,,An IRANIAN-AMERICAN MAN is kicked as he crouches on the ground.
What is the main point about MIDDLE?,,A MIDDLE-AGED WOMAN looks murderous as she waves an American flag at the camera.
Who or what is INT?,,CUT TO: 78 INT.
What is the main point about CUT?,,CUT TO: 78 INT.
Who or what is ABC News?,,"SMALL-TOWN BAR - DAY 78 Back to the ABC News report, the bar in Pecatonica."
Who or what is Pecatonica?,,"SMALL-TOWN BAR - DAY 78 Back to the ABC News report, the bar in Pecatonica."
What is the main point about TOWN?,,"SMALL-TOWN BAR - DAY 78 Back to the ABC News report, the bar in Pecatonica."
Who or what is STROUP?,,"STROUP (V.O.) I'm like that guy screamin' in that movie-program Network, y'know? I've had it."
Who or what is V.O.?,,"STROUP (V.O.) I'm like that guy screamin' in that movie-program Network, y'know? I've had it."
Who or what is Network?,,"STROUP (V.O.) I'm like that guy screamin' in that movie-program Network, y'know? I've had it."
What is the main point about STROUP?,,"STROUP (V.O.) I'm like that guy screamin' in that movie-program Network, y'know? I've had it."
What is the main point about need?,,"And if need be, I'll bear arms again."
What is the main point about ARGO?,,ARGO - Final 27.
Who or what is INT?,,79 INT.
What is the main point about INT?,,79 INT.
Who or what is Lijeks?,,"(TEHRAN) - NIGHT 79 The Houseguests descend into the crawlspace, a darkened, cramped area -- first the Lijeks, then Anders and Schatz... then J and Kathy Stafford."
Who or what is Schatz?,,"Houseguests descend into the crawlspace, a darkened, cramped area -- first the Lijeks, then Anders and Schatz... then J and Kathy Stafford."
Who or what is Kathy Stafford?,,"the crawlspace, a darkened, cramped area -- first the Lijeks, then Anders and Schatz... then J and Kathy Stafford."
What is the main point about AMBASSADOR?,,"CANADIAN AMBASSADOR'S RESIDENCE (TEHRAN) - NIGHT 79 The Houseguests descend into the crawlspace, a darkened, cramped area -- first the Lijeks, then Anders and Schatz... then J and Kathy Stafford."
Who or what is COMPLETELY BLACK?,,The trapdoor closes and the crawlspace gs COMPLETELY BLACK.
What is the main point about trapdoor?,,The trapdoor closes and the crawlspace gs COMPLETELY BLACK.
What is the main point about CUT?,,CUT TO: 80 INT.
Who or what is WALTER CRONKITE?,,"MENDEZ APARTMENT - KITCHEN - NIGHT 80 WALTER CRONKITE (V.O.) (ON TV) And that's the way it is, on this, the 70th day of captivity for the American hostages"
Who or what is V.O.?,,"MENDEZ APARTMENT - KITCHEN - NIGHT 80 WALTER CRONKITE (V.O.) (ON TV) And that's the way it is, on this, the 70th day of captivity for the American hostages in Iran."
Who or what is ON TV?,,"MENDEZ APARTMENT - KITCHEN - NIGHT 80 WALTER CRONKITE (V.O.) (ON TV) And that's the way it is, on this, the 70th day of captivity for the American hostages in Iran."
When did the events related to the 70th day occur?,,"MENDEZ APARTMENT - KITCHEN - NIGHT 80 WALTER CRONKITE (V.O.) (ON TV) And that's the way it is, on this, the 70th day of captivity for the American hostages in Iran."
Who or what is Iran?,,"(V.O.) (ON TV) And that's the way it is, on this, the 70th day of captivity for the American hostages in Iran."
What is the main point about MENDEZ?,,"MENDEZ APARTMENT - KITCHEN - NIGHT 80 WALTER CRONKITE (V.O.) (ON TV) And that's the way it is, on this, the 70th day of captivity for the American hostages in Iran."
Who or what is Cronkite?,,Mendez is watching Cronkite on a small television in his kitchen.
What is the main point about Mendez?,,Mendez is watching Cronkite on a small television in his kitchen.
Who or what is Xeroxed?,,"In front of him, a folder with Xeroxed photographs of the HOUSEGUESTS."
Who or what is HOUSEGUESTS?,,"In front of him, a folder with Xeroxed photographs of the HOUSEGUESTS."
What is the main point about front?,,"In front of him, a folder with Xeroxed photographs of the HOUSEGUESTS."
Who or what is GOOFY?,,He changes the channel and finds a GOOFY SEVENTIES COMMERCIAL -- He picks up the phone.
What is the main point about channel?,,He changes the channel and finds a GOOFY SEVENTIES COMMERCIAL -- He picks up the phone.
Who or what is INT?,,81 INT.
What is the main point about INT?,,81 INT.
Who or what is CHRISTINE'S?,,"CHRISTINE'S HOUSE - CROSS-CUTTING - NIGHT 81 IAN MENDEZ, 7 and about to turn 8, is watching a movie on his bed."
Who or what is HOUSE - CROSS-CUTTING - NIGHT?,,"CHRISTINE'S HOUSE - CROSS-CUTTING - NIGHT 81 IAN MENDEZ, 7 and about to turn 8, is watching a movie on his bed."
Who or what is IAN?,,"CHRISTINE'S HOUSE - CROSS-CUTTING - NIGHT 81 IAN MENDEZ, 7 and about to turn 8, is watching a movie on his bed."
When did the events related to 7 occur?,,"CHRISTINE'S HOUSE - CROSS-CUTTING - NIGHT 81 IAN MENDEZ, 7 and about to turn 8, is watching a movie on his bed."
When did the events related to 8 occur?,,"CHRISTINE'S HOUSE - CROSS-CUTTING - NIGHT 81 IAN MENDEZ, 7 and about to turn 8, is watching a movie on his bed."
What is the main point about CHRISTINE?,,"CHRISTINE'S HOUSE - CROSS-CUTTING - NIGHT 81 IAN MENDEZ, 7 and about to turn 8, is watching a movie on his bed."
What is the main point about ring?,,He picks up on the second ring.
Who or what is IAN Hello?,,IAN Hello. MENDEZ (V.O.) Buddy-man.
Who or what is MENDEZ?,,IAN Hello. MENDEZ (V.O.) Buddy-man.
Who or what is V.O.?,,IAN Hello. MENDEZ (V.O.) Buddy-man.
What is the main point about IAN?,,IAN Hello. MENDEZ (V.O.) Buddy-man.
Who or what is IAN?,,IAN Mom's asleep.
What is the main point about IAN?,,IAN Mom's asleep.
When did the events related to tonight occur?,,MENDEZ You do homework tonight? IAN Yeah.
What is the main point about MENDEZ?,,MENDEZ You do homework tonight? IAN Yeah.
Who or what is Tony?,,MENDEZ What was it? But Tony can hear a television soundtrack with ominous electronic music.
What is the main point about MENDEZ?,,MENDEZ What was it? But Tony can hear a television soundtrack with ominous electronic music.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 28.
Who or what is IAN?,,81 CONTINUED: 81 MENDEZ What do I hear? IAN (COMING CLEAN) Battle for Planet of the Apes.' Am I in trouble? A beat.
What is the main point about CONTINUED?,,81 CONTINUED: 81 MENDEZ What do I hear? IAN (COMING CLEAN) Battle for Planet of the Apes.' Am I in trouble? A beat.
What is the main point about MENDEZ?,,MENDEZ What channel? IAN Nine.
When did the events related to 81 hour occur?,,81 Mendez turns on his living room television to the three- 81 hour BATTLE FOR PLANET OF THE APES.
Who or what is APES?,,81 Mendez turns on his living room television to the three- 81 hour BATTLE FOR PLANET OF THE APES.
What is the main point about Mendez?,,81 Mendez turns on his living room television to the three- 81 hour BATTLE FOR PLANET OF THE APES.
What is the main point about MENDEZ?,,MENDEZ Catch me up.
Who or what is Tony?,,"Tony listens, staring ahead at the TV ."
What is the main point about Tony?,,"Tony listens, staring ahead at the TV ."
What is the main point about desert?,,A desert landscape dotted with technological garbage.
Who or what is Roddy MacDowell?,,An ape played by Roddy MacDowell walks across the landscape.
What is the main point about ape?,,An ape played by Roddy MacDowell walks across the landscape.
What is the main point about television?,,"He's staring at the television, but now really paying attention."
What is the main point about apes?,,The apes walk into the ruins of what was once a great city.
Who or what is RODDY?,,"RODDY MacDOWELL (V.O.) (on TV, as Caesar) This is the hell my forefathers used to speak about."
Who or what is V.O.?,,"RODDY MacDOWELL (V.O.) (on TV, as Caesar) This is the hell my forefathers used to speak about."
Who or what is Caesar?,,"RODDY MacDOWELL (V.O.) (on TV, as Caesar) This is the hell my forefathers used to speak about."
What is the main point about RODDY?,,"RODDY MacDOWELL (V.O.) (on TV, as Caesar) This is the hell my forefathers used to speak about."
Who or what is TONY?,,(Etc.) ON TONY staring at the movie.
What is the main point about Etc?,,(Etc.) ON TONY staring at the movie.
What is the main point about Wheels?,,Wheels turning in his head.
When did the events related to 82-85 86 occur?,,CUT TO: 82-85 OMITTED 82-85 86 INT.
Who or what is INT?,,CUT TO: 82-85 OMITTED 82-85 86 INT.
What is the main point about CUT?,,CUT TO: 82-85 OMITTED 82-85 86 INT.
Who or what is SCI-FI LAB - A MINOTAUR - DAY 86?,,"SCI-FI LAB - A MINOTAUR - DAY 86 A bullhuman experiment in a SCI-FI lab, coming to bovine life."
Who or what is SCI-FI?,,"SCI-FI LAB - A MINOTAUR - DAY 86 A bullhuman experiment in a SCI-FI lab, coming to bovine life."
What is the main point about SCI?,,"SCI-FI LAB - A MINOTAUR - DAY 86 A bullhuman experiment in a SCI-FI lab, coming to bovine life."
What is the main point about SEXY?,,A SEXY SPACE NURSE is administering some kind of shot to him.
What is the main point about NURSE?,,A SECOND NURSE stands by.
What is the main point about SPACE?,,SPACE NURSE My creation...
What is the main point about creation?,,My creation... (CONTINUED) ARGO - Final 29.
Who or what is KNOCKS?,,"86 CONTINUED: 86 The Minotaur lifts his head, KNOCKS into the Nurse."
Who or what is Nurse?,,"86 CONTINUED: 86 The Minotaur lifts his head, KNOCKS into the Nurse."
What is the main point about CONTINUED?,,"86 CONTINUED: 86 The Minotaur lifts his head, KNOCKS into the Nurse."
Who or what is Brian?,,"SPACE NURSE (BREAKING CHARACTER) What the fuck, Brian? DIRECTOR (O.S.) Cut! A.D. (O.S.) WE'RE CUTTING! A bell."
Who or what is DIRECTOR?,,"SPACE NURSE (BREAKING CHARACTER) What the fuck, Brian? DIRECTOR (O.S.) Cut! A.D. (O.S.) WE'RE CUTTING! A bell."
Who or what is O.S.?,,"SPACE NURSE (BREAKING CHARACTER) What the fuck, Brian? DIRECTOR (O.S.) Cut! A.D. (O.S.) WE'RE CUTTING! A bell."
Who or what is A.D.?,,"SPACE NURSE (BREAKING CHARACTER) What the fuck, Brian? DIRECTOR (O.S.) Cut! A.D. (O.S.) WE'RE CUTTING! A bell."
Who or what is O.S.?,,"SPACE NURSE (BREAKING CHARACTER) What the fuck, Brian? DIRECTOR (O.S.) Cut! A.D. (O.S.) WE'RE CUTTING! A bell."
What is the main point about SPACE?,,"SPACE NURSE (BREAKING CHARACTER) What the fuck, Brian? DIRECTOR (O.S.) Cut! A.D. (O.S.) WE'RE CUTTING! A bell."
What is the main point about REVEALS?,,WIDER REVEALS that we're on a... 87 INT.
Who or what is WARNER BROS?,,WARNER BROS.
What is the main point about WARNER?,,WARNER BROS.
Who or what is DIRECTOR?,,"SOUNDSTAGE - DAY 87 A DIRECTOR, 40s, whispers something to an A.D., mid- thirties."
When did the events related to 40s occur?,,"SOUNDSTAGE - DAY 87 A DIRECTOR, 40s, whispers something to an A.D., mid- thirties."
Who or what is A.D.?,,"SOUNDSTAGE - DAY 87 A DIRECTOR, 40s, whispers something to an A.D., mid- thirties."
When did the events related to thirties occur?,,"SOUNDSTAGE - DAY 87 A DIRECTOR, 40s, whispers something to an A.D., mid- thirties."
What is the main point about SOUNDSTAGE?,,"SOUNDSTAGE - DAY 87 A DIRECTOR, 40s, whispers something to an A.D., mid- thirties."
Who or what is John Chambers?,,A.D. (inquiring into a WALKIE) John Chambers.
What is the main point about A.D.?,,A.D. (inquiring into a WALKIE) John Chambers.
Who or what is John Chambers?,,John Chambers make- up...
What is the main point about John?,,John Chambers make- up...
What is the main point about CUT?,,CUT TO: 88 INT.
Who or what is WARNER BROS?,,WARNER BROS.
What is the main point about WARNER?,,WARNER BROS.
Who or what is Hollywood?,,"SOUNDSTAGE - DAY 88 JOHN CHAMBERS, Hollywood's first Oscar winner for makeup, walks onto set carrying a fishing tackle box of supplies."
What is the main point about SOUNDSTAGE?,,"SOUNDSTAGE - DAY 88 JOHN CHAMBERS, Hollywood's first Oscar winner for makeup, walks onto set carrying a fishing tackle box of supplies."
Who or what is SUPERIMPOSE?,,"SUPERIMPOSE: BURBANK, CALIFORNIA - JANUARY 19, 1980 The A.D. joins Chambers, walking him onto the set."
Who or what is BURBANK?,,"SUPERIMPOSE: BURBANK, CALIFORNIA - JANUARY 19, 1980 The A.D. joins Chambers, walking him onto the set."
Who or what is CALIFORNIA?,,"SUPERIMPOSE: BURBANK, CALIFORNIA - JANUARY 19, 1980 The A.D. joins Chambers, walking him onto the set."
Who or what is A.D.?,,"SUPERIMPOSE: BURBANK, CALIFORNIA - JANUARY 19, 1980 The A.D. joins Chambers, walking him onto the set."
Who or what is Chambers?,,"SUPERIMPOSE: BURBANK, CALIFORNIA - JANUARY 19, 1980 The A.D. joins Chambers, walking him onto the set."
What is the main point about SUPERIMPOSE?,,"SUPERIMPOSE: BURBANK, CALIFORNIA - JANUARY 19, 1980 The A.D. joins Chambers, walking him onto the set."
Who or what is A.D.?,,A.D.
What is the main point about A.D.?,,A.D.
Who or what is Minotaur?,,He says the Minotaur's prosthetic is too tight so he can't act.
What is the main point about Minotaur?,,He says the Minotaur's prosthetic is too tight so he can't act.
Who or what is Minotaur?,,CHAMBERS If he could act he wouldn't be playing the Minotaur.
What is the main point about CHAMBERS?,,CHAMBERS If he could act he wouldn't be playing the Minotaur.
Who or what is Minotaur?,,He smiles and waves at the Minotaur and begins to work on his prosthetic with a brush and solvent.
What is the main point about waves?,,He smiles and waves at the Minotaur and begins to work on his prosthetic with a brush and solvent.
What is the main point about CUT?,,CUT TO: ARGO - Final 30.
Who or what is INT?,,89 INT.
What is the main point about INT?,,89 INT.
When did the events related to TABLE - DAY 89 occur?,,NEAR CRAFT SERVICES TABLE - DAY 89 Chambers is foraging through 70s SNACKS.
Who or what is Chambers?,,NEAR CRAFT SERVICES TABLE - DAY 89 Chambers is foraging through 70s SNACKS.
When did the events related to 70s occur?,,NEAR CRAFT SERVICES TABLE - DAY 89 Chambers is foraging through 70s SNACKS.
What is the main point about NEAR?,,NEAR CRAFT SERVICES TABLE - DAY 89 Chambers is foraging through 70s SNACKS.
What is the main point about craft?,,At the craft service table.
What is the main point about guy?,,A guy in his SPACE ARMOR PANTS without the top is eating as well.
Who or what is P.A.?,,"A P.A. approaches, carrying a PHONE on a long cord."
Who or what is PHONE?,,"A P.A. approaches, carrying a PHONE on a long cord."
What is the main point about P.A.?,,"A P.A. approaches, carrying a PHONE on a long cord."
Who or what is Chambers?,,P.A. Mr. Chambers.
What is the main point about P.A.?,,P.A. Mr. Chambers.
Who or what is P.A. Kevin Harkins?,,"CHAMBERS (STILL FORAGING) Who is it? P.A. Kevin Harkins? Chambers gives the kid a look, takes the phone from him and puts it to his ear."
What is the main point about CHAMBERS?,,"CHAMBERS (STILL FORAGING) Who is it? P.A. Kevin Harkins? Chambers gives the kid a look, takes the phone from him and puts it to his ear."
Who or what is Tony?,,"CHAMBERS Hey, Tony."
What is the main point about CHAMBERS?,,"CHAMBERS Hey, Tony."
Who or what is INT?,,90 INT.
What is the main point about INT?,,90 INT.
Who or what is CIA?,,CIA - CONFERENCE ROOM - DAY 90 Pender and Engell sit at the table; O'Donnell hovers.
Who or what is Engell?,,CIA - CONFERENCE ROOM - DAY 90 Pender and Engell sit at the table; O'Donnell hovers.
Who or what is O'Donnell?,,CIA - CONFERENCE ROOM - DAY 90 Pender and Engell sit at the table; O'Donnell hovers.
What is the main point about CIA?,,CIA - CONFERENCE ROOM - DAY 90 Pender and Engell sit at the table; O'Donnell hovers.
Who or what is State Department?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL"
Who or what is CIA?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet,"
Who or what is Malinov?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell"
Who or what is Lamont?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell nods"
Who or what is DAVID MARMOR?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell nods for the door to be"
When did the events related to early 30s occur?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell nods for the door to be shut."
Who or what is Engell?,,"State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell nods for the door to be shut."
Who or what is O'DONNELL?,,"Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell nods for the door to be shut."
Who or what is Malinov?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell"
What is the main point about State?,,"A few State Department and CIA ANALYSTS here, including Malinov and Lamont; and DAVID MARMOR, early 30s, Engell's guy. O'DONNELL (quiet, to Malinov) Is he coming? Engell nods for the door to be shut."
Who or what is ENGELL?,,ENGELL (TO PENDER) Okay.
What is the main point about ENGELL?,,ENGELL (TO PENDER) Okay.
What is the main point about N.E.?,,Our N.E. put together a work-up.
Who or what is David?,,David.
What is the main point about David?,,David.
What is the main point about MARMOR?,,MARMOR They would pose as teachers from the international school.
Who or what is O'Donnell?,,PENDER We went through all that -- it's boarded up -- O'Donnell looking at the clock.
What is the main point about PENDER?,,PENDER We went through all that -- it's boarded up -- O'Donnell looking at the clock.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 31.
Who or what is PENDER Suppose?,,90 CONTINUED: 90 MARMOR Suppose the airport guards don't know that -- PENDER Suppose.
What is the main point about CONTINUED?,,90 CONTINUED: 90 MARMOR Suppose the airport guards don't know that -- PENDER Suppose.
Who or what is Suppose Heckle?,,Suppose Heckle and Jeckle go over and save them -- The door swings open.
Who or what is Jeckle?,,Suppose Heckle and Jeckle go over and save them -- The door swings open.
What is the main point about Heckle?,,Suppose Heckle and Jeckle go over and save them -- The door swings open.
What is the main point about MENDEZ?,,MENDEZ Hi.
Who or what is O'DONNELL?,,"Hi. O'DONNELL Have a seat, Tony."
Who or what is Tony?,,"Hi. O'DONNELL Have a seat, Tony."
What is the main point about Hi?,,"Hi. O'DONNELL Have a seat, Tony."
What is the main point about energy?,,There's an energy in him we haven't seen before.
What is the main point about MENDEZ?,,MENDEZ They're a Canadian film crew on a location scout for a science fiction movie -- A shift in the room.
"Who or what is MENDEZ Star Wars, Star Trek?",,"MENDEZ Star Wars, Star Trek."
What is the main point about MENDEZ?,,"MENDEZ Star Wars, Star Trek."
What is the main point about place?,,They need an exotic place to shoot.
Who or what is Turkey?,,"We put it out -- the Canadian producers put it out -- that they're looking at Turkey, Egypt, whatever."
Who or what is Egypt?,,"We put it out -- the Canadian producers put it out -- that they're looking at Turkey, Egypt, whatever."
What is the main point about producers?,,"We put it out -- the Canadian producers put it out -- that they're looking at Turkey, Egypt, whatever."
Who or what is Iran?,,Then we go to the consulate and say we wanna look at Iran.
What is the main point about consulate?,,Then we go to the consulate and say we wanna look at Iran.
What is the main point about film?,,I fly in there and we fly out together as a film crew.
Who or what is Iran?,,increases OPERATIONAL' -- MENDEZ This is more plausible than foreigners who want to go to school in Iran -- ENGELL So you're going to wake up tomorrow in the movie business? We have credentials for -- (CONTINUED)
When did the events related to tomorrow occur?,,more plausible than foreigners who want to go to school in Iran -- ENGELL So you're going to wake up tomorrow in the movie business? We have credentials for -- (CONTINUED) ARGO - Final 32.
What is the main point about MARMOR?,,"MARMOR (DRY) In an exfiltration, flamboyant cover identities should be avoided, as it increases OPERATIONAL' -- MENDEZ This is more plausible than foreigners who want to go to school in Iran -- ENGELL So you're going to wake up tomorrow in the movie business? We have credentials for -- (CONTINUED) ARGO - Final 32."
Who or what is L.A.?,,90 CONTINUED: (2) 90 MENDEZ I've got a contact in L.A. ENGELL (CATCHING ON) Chambers.
What is the main point about CONTINUED?,,90 CONTINUED: (2) 90 MENDEZ I've got a contact in L.A. ENGELL (CATCHING ON) Chambers.
Who or what is John Chambers?,,MENDEZ (TO PENDER) John Chambers.
What is the main point about MENDEZ?,,MENDEZ (TO PENDER) John Chambers.
Who or what is Hollywood?,,"He's a Hollywood prosthetics guy, ds contracting work for us on the side."
What is the main point about Hollywood?,,"He's a Hollywood prosthetics guy, ds contracting work for us on the side."
When did the events related to A couple days occur?,,A couple days to make it look real.
What is the main point about couple?,,A couple days to make it look real.
Who or what is O'Donnell?,,"Mendez and O'Donnell turn their eyes on Pender, who is the decision-maker here."
What is the main point about Mendez?,,"Mendez and O'Donnell turn their eyes on Pender, who is the decision-maker here."
Who or what is INT?,,"PENDER (after a beat, to MENDEZ) Remind me who you are again? 91 INT."
What is the main point about beat?,,"PENDER (after a beat, to MENDEZ) Remind me who you are again? 91 INT."
Who or what is CIA?,,"CIA - THE PIT - A FEW MINUTES LATER 91 Tony stands in small messy KITCHEN AREA, pouring coffee."
Who or what is Tony?,,"CIA - THE PIT - A FEW MINUTES LATER 91 Tony stands in small messy KITCHEN AREA, pouring coffee."
What is the main point about CIA?,,"CIA - THE PIT - A FEW MINUTES LATER 91 Tony stands in small messy KITCHEN AREA, pouring coffee."
What is the main point about coffeepot?,,On the coffeepot somebody's pinned a note: CHANGE FILTER IF YOU USE! DO UNTO OTHERS.
Who or what is O'Donnell?,,"O'Donnell approaches, quietly stands behind him, smoking quietly."
What is the main point about O'Donnell?,,"O'Donnell approaches, quietly stands behind him, smoking quietly."
What is the main point about Mendez?,,Mendez turns around.
Who or what is O'DONNELL?,,O'DONNELL We want you to go to L.A.
Who or what is L.A.?,,O'DONNELL We want you to go to L.A.
What is the main point about O'DONNELL?,,O'DONNELL We want you to go to L.A.
What is the main point about movie?,,"If you can make the movie thing credible, we'll take it to the Director."
Who or what is DRAG?,,(a beat; a cigarette DRAG) Don't fuck up.
What is the main point about beat?,,(a beat; a cigarette DRAG) Don't fuck up.
What is the main point about country?,,The whole country's watching you.
Who or what is INT?,,92 INT.
What is the main point about INT?,,92 INT.
What is the main point about T.W.A.?,,T.W.A. FLIGHT - MORNING 92 Mendez sits in an aisle seat.
Who or what is The New York Times?,,The PASSENGER next to him is looking at the headline of The New York Times: NEW THREATS FOR HOSTAGE TRIBUNALS.
What is the main point about PASSENGER?,,The PASSENGER next to him is looking at the headline of The New York Times: NEW THREATS FOR HOSTAGE TRIBUNALS.
What is the main point about Mendez?,,Mendez is reading THE FIVE C'S OF CINEMATOGRAPHY.
What is the main point about ARGO?,,ARGO - Final 33.
Who or what is INT?,,93 INT.
What is the main point about INT?,,93 INT.
Who or what is KOMITEH?,,MIDDLE-CLASS TEHRAN HOUSE - NIGHT 93 Six KOMITEH force their way into a house.
What is the main point about MIDDLE?,,MIDDLE-CLASS TEHRAN HOUSE - NIGHT 93 Six KOMITEH force their way into a house.
Who or what is KOMITEH?,,KOMITEH SOLDIER SAVAK! SAVAK! A Komiteh drags away a MAN in his forties while the man's wife cries.
Who or what is Komiteh?,,KOMITEH SOLDIER SAVAK! SAVAK! A Komiteh drags away a MAN in his forties while the man's wife cries.
What is the main point about KOMITEH?,,KOMITEH SOLDIER SAVAK! SAVAK! A Komiteh drags away a MAN in his forties while the man's wife cries.
What is the main point about weapons?,,"Automatic weapons are aimed at him, point- blank."
Who or what is IRANIAN WOMAN?,,"From ACROSS THE STREET, an IRANIAN WOMAN, 20s, watches. 94 OMITTED 94 95 INT."
When did the events related to 20s occur?,,"From ACROSS THE STREET, an IRANIAN WOMAN, 20s, watches. 94 OMITTED 94 95 INT."
Who or what is INT?,,"From ACROSS THE STREET, an IRANIAN WOMAN, 20s, watches. 94 OMITTED 94 95 INT."
What is the main point about STREET?,,"From ACROSS THE STREET, an IRANIAN WOMAN, 20s, watches. 94 OMITTED 94 95 INT."
Who or what is Lee Schatz?,,CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 95 NIGHT Lee Schatz and Bob Anders play poker in a room decorated with Persian carpets and mosaics.
Who or what is Bob Anders?,,CANADIAN AMBASSADOR'S RESIDENCE - LIVING ROOM - 95 NIGHT Lee Schatz and Bob Anders play poker in a room decorated with Persian carpets and mosaics.
